0,1,2
#512e26,#fcd106,#ca8d69
#906f68,#2e1d1e,#ded8d2
#e8e6df,#906e67,#3d342e
#c8866a,#503f23,#f5eee5
#0d1013,#5a4b4a,#b2aaa3
#ae5c4d,#251816,#faf9f8
#78b4d6,#2f5166,#c48b4d
#6a4c47,#e0a385,#101013
#cea377,#655555,#201b1a
#cbcebc,#636655,#0d0d0c
#865f40,#4781d7,#dcd0c0
#8b4c39,#130d0c,#3e231b
#773a29,#130908,#b4a7a3
#23292e,#75868f,#d7e1e7
#272d48,#7e583a,#d9a860
#1c1a14,#6d7160,#b6bba1
#448a1c,#16230b,#d0c27f
#b2bb93,#697152,#2f2a26
#8e8747,#171518,#bfd5cb
0,0,0
#07090a,#bad7dd,#3d7270
#e3381e,#c0bebb,#282e2d
#16181b,#696c67,#e4e4e4
0,0,0
#cdc8c2,#8f7556,#443a25
#413f24,#d3c6a0,#88b3d0
#8f6b4e,#2e2018,#ebd4b0
#141017,#41416b,#848cc9
#888079,#f6f5f3,#1f2025
#5e5d54,#ddc5b5,#080808
#687566,#0c0b0b,#a3b3b4
#74598a,#3f1f29,#dcc9c6
#9cacac,#244b6a,#9e6136
#73442b,#120d0c,#c99d5d
#d2cebd,#253419,#576b3b
#bec1b5,#1e1f1e,#696a67
0,0,0
0,0,0
#414932,#bed5e4,#bb8d42
#2a100d,#c3b092,#70594b
#ede6d9,#c16531,#523725
#002029,#758a82,#0b4950
#343022,#c8cca8,#937d4a
#1c1920,#9ec3d9,#516f80
#c5b2aa,#5c596b,#110f14
0,0,0
#877a6a,#ddcaa3,#433e37
#151d1f,#196c87,#66b9cf
#8a8585,#512d21,#e0915f
#d7c7b9,#202f38,#7e7672
#d5a463,#2d1526,#963532
#d0ceca,#706556,#100e0c
#b39072,#dadfe6,#445764
#b5b7c4,#5b5d6c,#111322
#b41809,#370605,#d9a3a0
#cf9956,#2c2411,#5298c6
#9c8534,#0a2d41,#adcbd2
0,0,0
#cc844d,#64402e,#181816
#623d62,#c98a23,#a694c8
0,0,0
#bc7848,#89abc7,#3f1e24
#18221a,#69735b,#b8c6b8
#c6aeaf,#283024,#b64c31
#060101,#552622,#da5a2c
#150807,#68341c,#cc8b48
#e5ded0,#cc9579,#16517e
#eaebf0,#777484,#1c1c20
#849384,#294153,#b6d6d4
#cc1e1e,#e27f6b,#faebe6
#0b8cc8,#373237,#bead91
#d6c4c4,#707ab3,#4f3c41
#0e0e0c,#51412f,#ad9c7e
#fbfaf9,#e0ba5a,#4d545b
#c69b51,#1b1617,#613225
#161616,#633635,#9f9272
#16121a,#48415c,#cdac84
#bfb5b1,#12151f,#614e43
#384e5c,#06090e,#bac6cd
#7a4211,#120c05,#cca23d
#b25033,#230e0d,#ebd298
#342b29,#198094,#a0cbd5
#c0d1e1,#5c403c,#c09483
#d5b490,#6e5d5f,#18151e
#999d92,#071318,#364846
#2c0b09,#b7aa96,#911913
#282727,#6e6c6b,#c0bfbd
#15171d,#a5a064,#9b2c04
#442d23,#fdfcfc,#bba9a0
#194d67,#1d1311,#cc8c53
